Notes,State,State Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Age,Age Code,Population
,Alabama,1,1990,1990,14 years,14,57097
,Alabama,1,1990,1990,15 years,15,59484
,Alabama,1,1990,1990,16 years,16,58734
,Alabama,1,1990,1990,17 years,17,62646
,Alabama,1,1990,1990,18 years,18,65346
,Alabama,1,1990,1990,19 years,19,72463
,Alabama,1,1990,1990,20 years,20,69202
,Alabama,1,1990,1990,21 years,21,63672
,Alabama,1,1990,1990,22 years,22,59219
,Alabama,1,1990,1990,23 years,23,58324
,Alabama,1,1990,1990,24 years,24,59934
,Alabama,1,1990,1990,25 years,25,62224
,Alabama,1,1990,1990,26 years,26,63399
,Alabama,1,1990,1990,27 years,27,64553
,Alabama,1,1990,1990,28 years,28,62076
,Alabama,1,1990,1990,29 years,29,67840
,Alabama,1,1990,1990,30 years,30,67153
,Alabama,1,1990,1990,31 years,31,65126
,Alabama,1,1990,1990,32 years,32,65957
,Alabama,1,1990,1990,33 years,33,66730
,Alabama,1,1990,1990,34 years,34,66414
,Alabama,1,1990,1990,35 years,35,65921
,Alabama,1,1990,1990,36 years,36,63212
,Alabama,1,1990,1990,37 years,37,61815
,Alabama,1,1990,1990,38 years,38,56893
,Alabama,1,1990,1990,39 years,39,60728
,Alabama,1,1990,1990,40 years,40,59607
,Alabama,1,1990,1990,41 years,41,57862
,Alabama,1,1990,1990,42 years,42,57624
,Alabama,1,1990,1990,43 years,43,60993
,Alabama,1,1990,1990,44 years,44,45951
,Alabama,1,1990,1990,45 years,45,46914
,Alabama,1,1990,1990,46 years,46,45967
,Alabama,1,1990,1990,47 years,47,48875
,Alabama,1,1990,1990,48 years,48,40951
,Alabama,1,1990,1990,49 years,49,43054
,Alabama,1,1990,1990,50 years,50,41122
,Alabama,1,1990,1990,51 years,51,39450
,Alabama,1,1990,1990,52 years,52,39187
,Alabama,1,1990,1990,53 years,53,37741
,Alabama,1,1990,1990,54 years,54,38446
,Alabama,1,1990,1990,55 years,55,38409
,Alabama,1,1990,1990,56 years,56,36244
,Alabama,1,1990,1990,57 years,57,36988
,Alabama,1,1990,1990,58 years,58,34758
,Alabama,1,1990,1990,59 years,59,37605
,Alabama,1,1990,1990,60 years,60,36771
,Alabama,1,1990,1990,61 years,61,35529
,Alabama,1,1990,1990,62 years,62,36999
,Alabama,1,1990,1990,63 years,63,36557
,Alabama,1,1990,1990,64 years,64,36235
,Alabama,1,1990,1990,65 years,65,35089
,Alabama,1,1990,1990,66 years,66,33628
,Alabama,1,1990,1990,67 years,67,33739
,Alabama,1,1990,1990,68 years,68,32827
