State,# of Bottled Still Wines,# of Bottled Effervescence Wines,Month,Year 
Iowa,35812,350,March,2019
Iowa,8780,0,May,2019
Iowa,5557,10,November,2019
Iowa,4187,25,October,2019
Iowa,22614,1023,September,2019
Kansas,1133,0,April,2019
Kansas,2032,0,August,2019
Kansas,1531,0,February,2019
Kansas,2808,0,January,2019
Kansas,1779,0,July,2019
Kansas,4769,0,June,2019
Kansas,5885,0,March,2019
Kansas,2032,0,May,2019
Kansas,1765,0,November,2019
Kansas,3460,0,October,2019
Kansas,4137,0,September,2019
Kentucky,52223,0,April,2019
Kentucky,385621,0,August,2019
Kentucky,24919,0,February,2019
Kentucky,9549,0,January,2019
Kentucky,192318,0,July,2019
Kentucky,310470,0,June,2019
Kentucky,81763,0,March,2019
Kentucky,244250,0,May,2019
Kentucky,61489,0,November,2019
Kentucky,53143,0,October,2019
Kentucky,46664,0,September,2019
Louisiana,9030,0,April,2019
Louisiana,0,0,August,2019
Louisiana,0,0,January,2019
Louisiana,0,0,July,2019
Louisiana,9438,0,June,2019
Louisiana,8377,0,March,2019
Louisiana,0,0,May,2019
Louisiana,0,0,October,2019
Louisiana,11492,0,September,2019
Maine,35040,0,April,2019
Maine,0,0,August,2019
Maine,14757,0,February,2019
Maine,48933,0,January,2019
Maine,62085,0,July,2019
Maine,340,0,June,2019
Maine,19682,0,March,2019
Maine,38,0,May,2019
Maine,28798,0,November,2019
Maine,47026,0,October,2019
Maine,36488,0,September,2019
Maryland,20763,0,April,2019
Maryland,11266,0,August,2019
Maryland,4381,0,February,2019
Maryland,21953,0,January,2019
Maryland,27322,0,July,2019
Maryland,26989,0,June,2019
Maryland,36055,13,March,2019
Maryland,11982,0,May,2019
Maryland,8489,0,November,2019
Maryland,14239,0,October,2019
Maryland,39576,0,September,2019
Massachusetts,131913,0,April,2019
Massachusetts,99014,0,August,2019
Massachusetts,99980,0,February,2019
Massachusetts,61778,0,January,2019
Massachusetts,176087,0,July,2019
Massachusetts,113044,0,June,2019
Massachusetts,123106,0,March,2019
Massachusetts,90037,2074,May,2019
Massachusetts,143356,0,November,2019
Massachusetts,186014,0,October,2019
Massachusetts,201163,0,September,2019
Michigan,143868,10178,April,2019
Michigan,247439,0,August,2019
Michigan,105813,4839,February,2019
Michigan,125516,6450,January,2019
Michigan,237006,18981,July,2019
Michigan,572337,0,June,2019
Michigan,304110,12989,March,2019
Michigan,217729,0,May,2019
Michigan,83927,14477,November,2019
Michigan,197017,3379,October,2019
Michigan,616963,18575,September,2019
Minnesota,2293,0,April,2019
Minnesota,964,0,August,2019
Minnesota,133,0,February,2019
Minnesota,778,0,January,2019
Minnesota,1625,0,July,2019
Minnesota,145243,0,June,2019
Minnesota,75382,3575,March,2019
Minnesota,902,0,May,2019
Minnesota,364,0,November,2019
Minnesota,19941,0,October,2019
Minnesota,53856,4444,September,2019
Mississippi,57,0,April,2019
Mississippi,4677,0,January,2019
Mississippi,0,0,June,2019
Mississippi,6176,0,March,2019
Mississippi,31,0,November,2019
Missouri,115163,13429,April,2019
Missouri,5842,0,August,2019
Missouri,75116,16008,February,2019
Missouri,84556,7302,January,2019
Missouri,141212,15677,July,2019
Missouri,45067,0,June,2019
Missouri,121639,15458,March,2019
Missouri,25233,0,May,2019
Missouri,26820,8032,November,2019
Missouri,33051,383,October,2019
Missouri,38182,1555,September,2019
Montana,0,0,April,2019
Montana,0,0,August,2019
Montana,0,0,February,2019
Montana,0,0,January,2019
Montana,56,0,July,2019
Montana,34732,0,June,2019
Montana,22676,0,March,2019
Montana,0,0,May,2019
Montana,0,0,November,2019
Montana,0,0,October,2019
Montana,26644,0,September,2019
Nebraska,1334,45,April,2019
Nebraska,0,0,August,2019
Nebraska,1684,0,February,2019
Nebraska,46306,226,January,2019
Nebraska,4356,0,July,2019
Nebraska,23159,0,June,2019
Nebraska,21205,295,March,2019
Nebraska,5270,0,May,2019
Nebraska,52,0,November,2019
Nebraska,0,0,October,2019
Nebraska,37633,0,September,2019
Nevada,0,0,April,2019
Nevada,660,0,August,2019
Nevada,193,0,February,2019
Nevada,3590,0,January,2019
Nevada,553,0,July,2019
Nevada,0,0,June,2019
Nevada,30028,0,March,2019
Nevada,0,0,May,2019
Nevada,0,0,November,2019
Nevada,0,0,October,2019
Nevada,0,0,September,2019
New Hampshire,998,0,April,2019
New Hampshire,0,0,August,2019
New Hampshire,223,0,February,2019
New Hampshire,2750,0,January,2019
New Hampshire,14273,177,July,2019
New Hampshire,11767,0,June,2019
New Hampshire,10216,0,March,2019
New Hampshire,5196,0,May,2019
New Hampshire,19305,0,November,2019
New Hampshire,1639,0,October,2019
New Hampshire,21098,232,September,2019
New Jersey,155108,6116,April,2019
New Jersey,50241,0,August,2019
New Jersey,121976,6769,February,2019
New Jersey,93274,6492,January,2019
New Jersey,100359,5257,July,2019
New Jersey,122384,0,June,2019
New Jersey,194108,6214,March,2019
New Jersey,79921,0,May,2019
New Jersey,75897,6610,November,2019
New Jersey,53234,6156,October,2019
New Jersey,141683,9388,September,2019
New Mexico,40723,0,April,2019
New Mexico,101444,0,August,2019
New Mexico,49973,42942,February,2019
New Mexico,20192,43904,January,2019
New Mexico,100587,51329,July,2019
New Mexico,53385,0,June,2019
New Mexico,39792,32605,March,2019
New Mexico,14300,0,May,2019
New Mexico,22290,49096,November,2019
New Mexico,25106,82656,October,2019
New Mexico,77882,51823,September,2019
New York,2968176,263652,April,2019
New York,3067729,20158,August,2019
New York,2515837,294254,February,2019
New York,2940818,173357,January,2019
New York,2126467,161323,July,2019
New York,2589835,41858,June,2019
New York,2768367,221685,March,2019
New York,2237756,43349,May,2019
New York,1782416,204618,November,2019
New York,2038551,329777,October,2019
New York,2549006,215537,September,2019
North Carolina,315129,977,April,2019
North Carolina,260261,0,August,2019
North Carolina,212911,1195,February,2019
North Carolina,236834,2907,January,2019
North Carolina,332794,893,July,2019
North Carolina,198781,0,June,2019
North Carolina,231479,3641,March,2019
North Carolina,229208,0,May,2019
North Carolina,271250,1302,November,2019
North Carolina,267799,1396,October,2019
North Carolina,219242,4271,September,2019
North Dakota,1348,0,June,2019
North Dakota,336,0,March,2019
North Dakota,271,0,September,2019
Ohio,496031,178,April,2019
Ohio,228047,0,August,2019
Ohio,486789,152,February,2019
Ohio,531530,201,January,2019
Ohio,597003,58,July,2019
Ohio,323785,0,June,2019
Ohio,567440,563,March,2019
Ohio,385038,466,May,2019
Ohio,466647,50,November,2019
Ohio,55525,135,October,2019
Ohio,449370,988,September,2019
Oklahoma,0,0,April,2019
Oklahoma,0,0,August,2019
Oklahoma,32,0,February,2019
Oklahoma,20,0,January,2019
Oklahoma,0,0,July,2019
Oklahoma,748,0,June,2019
Oklahoma,710,0,March,2019
Oklahoma,0,0,May,2019
Oklahoma,96,0,November,2019
Oklahoma,871,0,September,2019
Oregon,986780,55729,April,2019
Oregon,395039,0,August,2019
Oregon,761378,21956,February,2019
Oregon,691087,5782,January,2019
Oregon,1431818,34020,July,2019
Oregon,426342,0,June,2019
Oregon,1348828,51110,March,2019
Oregon,500957,0,May,2019
Oregon,243031,301,November,2019
