Year (4-digit calendar year),"Geographic ID code (FIPS code, see specification below)",Type of beverage (see specification below),Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Gallons of ethanol per capita (14+),Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Gallons of ethanol per capita (21+),Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV,State_Region,Type of Beverage,Source
2009,13,3,188945000,8502525,7691025,11055,1.1055,7,6704296,12682,1.2682,7,7,46,8691470,Georgia,Beer,Industry
2009,13,4,.,15423202,7691025,20054,2.0054,9,6704296,23005,2.3005,9,.,.,15182091,Georgia,All beverages,unknown
2009,15,1,1923029,790365,1112396,7105,0.7105,6,991361,7973,0.7973,7,7,378,726905,Hawaii,Spirits,Industry
2009,15,2,4412500,569213,1112396,5117,0.5117,3,991361,5742,0.5742,3,7,121,533913,Hawaii,Wine,Industry
2009,15,3,31403000,1413135,1112396,12704,1.2704,5,991361,14254,1.4254,5,7,46,1444538,Hawaii,Beer,Industry
2009,15,4,.,2772713,1112396,24926,2.4926,4,991361,27969,2.7969,5,.,.,2705356,Hawaii,All beverages,unknown
2009,16,1,2083619,856368,1220331,7018,0.7018,7,1059811,8080,0.808,7,5,378,787608,Idaho,Spirits,NABCA monthly sales volume data
2009,16,2,8653235,1116267,1220331,9147,0.9147,1,1059811,10533,1.0533,1,2,123,1064348,Idaho,Wine,State monthly sales tax data
2009,16,3,28455794,1280511,1220331,10493,1.0493,9,1059811,12082,1.2082,8,2,46,1308967,Idaho,Beer,State monthly sales tax data
2009,16,4,.,3253146,1220331,26658,2.6658,3,1059811,30696,3.0696,3,.,.,3160923,Idaho,All beverages,unknown
2009,17,1,18474197,7592895,10396053,7304,0.7304,6,9111227,8334,0.8334,6,7,373,6890875,Illinois,Spirits,Industry
2009,17,2,31426764,4054053,10396053,3900,0.39,5,9111227,4450,0.445,5,7,123,3865492,Illinois,Wine,Industry
2009,17,3,285324000,12839580,10396053,12350,1.235,5,9111227,14092,1.4092,5,7,46,13124904,Illinois,Beer,Industry
2009,17,4,.,24486528,10396053,23554,2.3554,5,9111227,26875,2.6875,5,.,.,23881271,Illinois,All beverages,unknown
2009,18,1,9158767,3764253,5218677,7213,0.7213,6,4553593,8267,0.8267,6,1,371,3397903,Indiana,Spirits,State monthly sales volume data
2009,18,2,10096072,1302393,5218677,2496,0.2496,7,4553593,2860,0.286,7,1,123,1241817,Indiana,Wine,State monthly sales volume data
2009,18,3,125274682,5637361,5218677,10802,1.0802,8,4553593,12380,1.238,8,1,46,5762635,Indiana,Beer,State monthly sales volume data
2009,18,4,.,10704007,5218677,20511,2.0511,8,4553593,23507,2.3507,8,.,.,10402355,Indiana,All beverages,unknown
2009,19,1,4306093,1769804,2472018,7159,0.7159,6,2165984,8171,0.8171,6,5,360,1550194,Iowa,Spirits,NABCA monthly sales volume data
2009,19,2,3387022,436926,2472018,1767,0.1767,9,2165984,2017,0.2017,9,7,122,413217,Iowa,Wine,Industry
2009,19,3,77996000,3509820,2472018,14198,1.4198,2,2165984,16204,1.6204,3,7,45,3509820,Iowa,Beer,Industry
2009,19,4,.,5716550,2472018,23125,2.3125,6,2165984,26392,2.6392,6,.,.,5473231,Iowa,All beverages,unknown
2009,20,1,3687771,1515674,2271172,6674,0.6674,8,1984275,7638,0.7638,8,2,374,1379226,Kansas,Spirits,State monthly sales tax data
2009,20,2,2457347,316998,2271172,1396,0.1396,10,1984275,1598,0.1598,10,7,122,299796,Kansas,Wine,Industry
2009,20,3,59692768,2686175,2271172,11827,1.1827,7,1984275,13537,1.3537,6,2,46,2745867,Kansas,Beer,State monthly sales tax data
2009,20,4,.,4518846,2271172,19897,1.9897,9,1984275,22773,2.2773,9,.,.,4424889,Kansas,All beverages,unknown
2009,21,1,5582919,2294580,3527473,6505,0.6505,8,3113123,7371,0.7371,8,2,380,2121509,Kentucky,Spirits,State monthly sales tax data
2009,21,2,4848884,625506,3527473,1773,0.1773,9,3113123,2009,0.2009,10,2,123,596413,Kentucky,Wine,State monthly sales tax data
2009,21,3,79794000,3590730,3527473,10179,1.0179,9,3113123,11534,1.1534,9,7,47,3750318,Kentucky,Beer,Industry
2009,21,4,.,6510816,3527473,18457,1.8457,10,3113123,20914,2.0914,10,.,.,6468240,Kentucky,All beverages,unknown
2009,22,1,7510042,3086627,3631334,8500,0.85,4,3173206,9727,0.9727,4,1,376,2823776,Louisiana,Spirits,State monthly sales volume data
2009,22,2,7867931,1014963,3631334,2795,0.2795,6,3173206,3199,0.3199,7,1,125,983491,Louisiana,Wine,State monthly sales volume data
2009,22,3,121396000,5462820,3631334,15044,1.5044,2,3173206,17215,1.7215,2,7,46,5584216,Louisiana,Beer,Industry
2009,22,4,.,9564411,3631334,26339,2.6339,3,3173206,30141,3.0141,3,.,.,9391483,Louisiana,All beverages,unknown
2009,23,1,2247056,923540,1121322,8236,0.8236,5,997502,9259,0.9259,5,5,357,802199,Maine,Spirits,NABCA monthly sales volume data
2009,23,2,3611250,465851,1121322,4154,0.4154,5,997502,4670,0.467,5,7,122,440572,Maine,Wine,Industry
2009,23,3,32550000,1464750,1121322,13063,1.3063,4,997502,14684,1.4684,5,7,46,1497300,Maine,Beer,Industry
2009,23,4,.,2854141,1121322,25453,2.5453,4,997502,28613,2.8613,4,.,.,2740071,Maine,All beverages,unknown
2009,24,1,9863177,4053766,4700302,8624,0.8624,3,4133036,9808,0.9808,3,1,378,3728281,Maryland,Spirits,State monthly sales volume data
2009,24,2,13291693,1714628,4700302,3648,0.3648,5,4133036,4149,0.4149,5,1,123,1634878,Maryland,Wine,State monthly sales volume data
