Year (4-digit calendar year),"Geographic ID code (FIPS code, see specification below)",Type of beverage (see specification below),Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Gallons of ethanol per capita (14+),Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Gallons of ethanol per capita (21+),Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV,State_Region,Type of Beverage,Source
1971,47,1,3966000,1784700,2994737,5959,0.5959,10,2453005,7276,0.7276,10,.,.,.,Tennessee,Spirits,unknown
1971,47,2,1932000,309120,2994737,1032,0.1032,9,2453005,1260,0.126,9,.,.,.,Tennessee,Wine,unknown
1971,47,3,62180000,2798100,2994737,9343,0.9343,8,2453005,11407,1.1407,9,.,.,.,Tennessee,Beer,unknown
1971,47,4,.,4891920,2994737,16335,1.6335,10,2453005,19943,1.9943,10,.,.,.,Tennessee,All beverages,unknown
1971,48,1,13643000,6139350,8393263,7315,0.7315,9,6791207,9040,0.904,9,.,.,.,Texas,Spirits,unknown
1971,48,2,10162000,1625920,8393263,1937,0.1937,7,6791207,2394,0.2394,7,.,.,.,Texas,Wine,unknown
1971,48,3,253171000,11392695,8393263,13574,1.3574,2,6791207,16776,1.6776,2,.,.,.,Texas,Beer,unknown
1971,48,4,.,19157965,8393263,22825,2.2825,7,6791207,28210,2.821,7,.,.,.,Texas,All beverages,unknown
1971,49,1,984000,442800,766903,5774,0.5774,10,594783,7445,0.7445,10,.,.,.,Utah,Spirits,unknown
1971,49,2,709000,113440,766903,1479,0.1479,8,594783,1907,0.1907,8,.,.,.,Utah,Wine,unknown
1971,49,3,12961000,583245,766903,7605,0.7605,10,594783,9806,0.9806,10,.,.,.,Utah,Beer,unknown
1971,49,4,.,1139485,766903,14858,1.4858,10,594783,19158,1.9158,10,.,.,.,Utah,All beverages,unknown
1971,50,1,1328000,597600,331711,18016,1.8016,1,269164,22202,2.2202,1,.,.,.,Vermont,Spirits,unknown
1971,50,2,986000,157760,331711,4756,0.4756,1,269164,5861,0.5861,1,.,.,.,Vermont,Wine,unknown
1971,50,3,11083000,498735,331711,15035,1.5035,1,269164,18529,1.8529,1,.,.,.,Vermont,Beer,unknown
1971,50,4,.,1254095,331711,37807,3.7807,1,269164,46592,4.6592,1,.,.,.,Vermont,All beverages,unknown
1971,51,1,7915000,3561750,3519914,10119,1.0119,6,2864136,12436,1.2436,6,.,.,.,Virginia,Spirits,unknown
1971,51,2,5054000,808640,3519914,2297,0.2297,6,2864136,2823,0.2823,6,.,.,.,Virginia,Wine,unknown
1971,51,3,81473000,3666285,3519914,10416,1.0416,7,2864136,12801,1.2801,7,.,.,.,Virginia,Beer,unknown
1971,51,4,.,8036675,3519914,22832,2.2832,7,2864136,28060,2.806,7,.,.,.,Virginia,All beverages,unknown
1971,53,1,6058000,2726100,2567834,10616,1.0616,5,2096931,13000,1.3,6,.,.,.,Washington,Spirits,unknown
1971,53,2,6979000,1116640,2567834,4349,0.4349,2,2096931,5325,0.5325,2,.,.,.,Washington,Wine,unknown
1971,53,3,70009000,3150405,2567834,12269,1.2269,4,2096931,15024,1.5024,4,.,.,.,Washington,Beer,unknown
1971,53,4,.,6993145,2567834,27234,2.7234,4,2096931,33349,3.3349,5,.,.,.,Washington,All beverages,unknown
1971,54,1,2204000,991800,1335677,7425,0.7425,9,1095525,9053,0.9053,9,.,.,.,West Virginia,Spirits,unknown
1971,54,2,844000,135040,1335677,1011,0.1011,10,1095525,1233,0.1233,10,.,.,.,West Virginia,Wine,unknown
1971,54,3,26169000,1177605,1335677,8817,0.8817,9,1095525,10749,1.0749,9,.,.,.,West Virginia,Beer,unknown
1971,54,4,.,2304445,1335677,17253,1.7253,9,1095525,21035,2.1035,9,.,.,.,West Virginia,All beverages,unknown
1971,55,1,9145000,4115250,3255248,12642,1.2642,4,2638416,15597,1.5597,4,.,.,.,Wisconsin,Spirits,unknown
1971,55,2,5063000,810080,3255248,2489,0.2489,5,2638416,3070,0.307,5,.,.,.,Wisconsin,Wine,unknown
1971,55,3,126195000,5678775,3255248,17445,1.7445,1,2638416,21523,2.1523,1,.,.,.,Wisconsin,Beer,unknown
1971,55,4,.,10604105,3255248,32575,3.2575,2,2638416,40191,4.0191,2,.,.,.,Wisconsin,All beverages,unknown
1971,56,1,653000,293850,248688,11816,1.1816,4,200571,14651,1.4651,4,.,.,.,Wyoming,Spirits,unknown
1971,56,2,286000,45760,248688,1840,0.184,7,200571,2281,0.2281,7,.,.,.,Wyoming,Wine,unknown
1971,56,3,7316000,329220,248688,13238,1.3238,3,200571,16414,1.6414,3,.,.,.,Wyoming,Beer,unknown
1971,56,4,.,668830,248688,26894,2.6894,5,200571,33346,3.3346,5,.,.,.,Wyoming,All beverages,unknown
1971,91,1,105448000,47451600,37264256,12734,1.2734,.,31042684,15286,1.5286,.,.,.,.,Northeast Region,Spirits,unknown
1971,91,2,86565000,13850400,37264256,3717,0.3717,.,31042684,4462,0.4462,.,.,.,.,Northeast Region,Wine,unknown
1971,91,3,986642000,44398890,37264256,11915,1.1915,.,31042684,14303,1.4303,.,.,.,.,Northeast Region,Beer,unknown
1971,91,4,.,105700890,37264256,28365,2.8365,.,31042684,34050,3.405,.,.,.,.,Northeast Region,All beverages,unknown
1971,92,1,96067000,43230150,42020458,10288,1.0288,.,34265837,12616,1.2616,.,.,.,.,Midwest Region,Spirits,unknown
1971,92,2,58074000,9291840,42020458,2211,0.2211,.,34265837,2712,0.2712,.,.,.,.,Midwest Region,Wine,unknown
1971,92,3,1145313000,51539085,42020458,12265,1.2265,.,34265837,15041,1.5041,.,.,.,.,Midwest Region,Beer,unknown
1971,92,4,.,104061075,42020458,24764,2.4764,.,34265837,30369,3.0369,.,.,.,.,Midwest Region,All beverages,unknown
1971,93,1,106139000,47762550,47584904,10037,1.0037,.,38724994,12334,1.2334,.,.,.,.,South Region,Spirits,unknown
1971,93,2,60723000,9715680,47584904,2042,0.2042,.,38724994,2509,0.2509,.,.,.,.,South Region,Wine,unknown
