GeoFips,GeoName,Year,Per Capita Personal Income
31000,Nebraska,1934,264
32000,Nevada,1934,560
33000,New Hampshire,1934,480
34000,New Jersey,1934,578
35000,New Mexico,1934,246
36000,New York,1934,688
37000,North Carolina,1934,247
38000,North Dakota,1934,184
39000,Ohio,1934,457
40000,Oklahoma,1934,250
41000,Oregon,1934,437
42000,Pennsylvania,1934,487
44000,Rhode Island,1934,609
45000,South Carolina,1934,207
46000,South Dakota,1934,190
47000,Tennessee,1934,242
48000,Texas,1934,291
49000,Utah,1934,314
50000,Vermont,1934,381
51000,Virginia,1934,323
53000,Washington,1934,442
54000,West Virginia,1934,313
55000,Wisconsin,1934,380
56000,Wyoming,1934,414
91000,New England,1934,588
92000,Mideast,1934,602
93000,Great Lakes,1934,450
94000,Plains,1934,309
95000,Southeast,1934,246
96000,Southwest,1934,282
97000,Rocky Mountain,1934,366
98000,Far West,1934,556
0,United States,1935,477
1000,Alabama,1935,216
2000,Alaska,1935,
4000,Arizona,1935,416
5000,Arkansas,1935,204
6000,California,1935,665
8000,Colorado,1935,445
9000,Connecticut,1935,715
10000,Delaware,1935,706
11000,District of Columbia,1935,1031
12000,Florida,1935,378
13000,Georgia,1935,267
15000,Hawaii *,1935,
16000,Idaho,1935,394
17000,Illinois,1935,576
18000,Indiana,1935,419
19000,Iowa,1935,418
20000,Kansas,1935,360
21000,Kentucky,1935,264
22000,Louisiana,1935,289
23000,Maine,1935,435
24000,Maryland,1935,558
25000,Massachusetts,1935,653
26000,Michigan,1935,532
27000,Minnesota,1935,449
28000,Mississippi,1935,174
29000,Missouri,1935,421
30000,Montana,1935,475
31000,Nebraska,1935,405
32000,Nevada,1935,667
33000,New Hampshire,1935,504
34000,New Jersey,1935,631
35000,New Mexico,1935,293
36000,New York,1935,732
37000,North Carolina,1935,267
38000,North Dakota,1935,271
39000,Ohio,1935,519
40000,Oklahoma,1935,296
41000,Oregon,1935,459
42000,Pennsylvania,1935,524
44000,Rhode Island,1935,655
45000,South Carolina,1935,228
46000,South Dakota,1935,305
47000,Tennessee,1935,263
48000,Texas,1935,325
49000,Utah,1935,391
50000,Vermont,1935,415
51000,Virginia,1935,354
53000,Washington,1935,491
54000,West Virginia,1935,338
55000,Wisconsin,1935,461
56000,Wyoming,1935,498
91000,New England,1935,625
92000,Mideast,1935,646
93000,Great Lakes,1935,519
94000,Plains,1935,403
95000,Southeast,1935,268
96000,Southwest,1935,320
97000,Rocky Mountain,1935,437
98000,Far West,1935,610
0,United States,1936,539
1000,Alabama,1936,249
2000,Alaska,1936,
4000,Arizona,1936,462
5000,Arkansas,1936,243
6000,California,1936,776
8000,Colorado,1936,542
9000,Connecticut,1936,815
10000,Delaware,1936,872
11000,District of Columbia,1936,1143
12000,Florida,1936,453
13000,Georgia,1936,300
15000,Hawaii *,1936,
16000,Idaho,1936,466
17000,Illinois,1936,654
18000,Indiana,1936,481
19000,Iowa,1936,391
20000,Kansas,1936,387
21000,Kentucky,1936,293
22000,Louisiana,1936,328
23000,Maine,1936,509
24000,Maryland,1936,627
25000,Massachusetts,1936,725
26000,Michigan,1936,621
27000,Minnesota,1936,474
28000,Mississippi,1936,222
29000,Missouri,1936,467
30000,Montana,1936,478
31000,Nebraska,1936,395
32000,Nevada,1936,845
33000,New Hampshire,1936,542
34000,New Jersey,1936,715
35000,New Mexico,1936,343
36000,New York,1936,819
37000,North Carolina,1936,294
38000,North Dakota,1936,238
39000,Ohio,1936,597
40000,Oklahoma,1936,322
41000,Oregon,1936,547
42000,Pennsylvania,1936,608
44000,Rhode Island,1936,721
45000,South Carolina,1936,256
46000,South Dakota,1936,248
47000,Tennessee,1936,303
48000,Texas,1936,372
49000,Utah,1936,463
50000,Vermont,1936,470
51000,Virginia,1936,394
53000,Washington,1936,570
54000,West Virginia,1936,391
55000,Wisconsin,1936,518
56000,Wyoming,1936,552
91000,New England,1936,699
92000,Mideast,1936,732
93000,Great Lakes,1936,594
94000,Plains,1936,414
95000,Southeast,1936,307
96000,Southwest,1936,362
97000,Rocky Mountain,1936,503
98000,Far West,1936,714
0,United States,1937,579
1000,Alabama,1937,266
2000,Alaska,1937,
4000,Arizona,1937,506
5000,Arkansas,1937,253
6000,California,1937,801
8000,Colorado,1937,534
9000,Connecticut,1937,870
10000,Delaware,1937,955
11000,District of Columbia,1937,1211
12000,Florida,1937,491
13000,Georgia,1937,312
15000,Hawaii *,1937,
16000,Idaho,1937,421
17000,Illinois,1937,734
18000,Indiana,1937,546
19000,Iowa,1937,513
20000,Kansas,1937,427
21000,Kentucky,1937,339
22000,Louisiana,1937,352
23000,Maine,1937,514
24000,Maryland,1937,674
25000,Massachusetts,1937,742
26000,Michigan,1937,687
27000,Minnesota,1937,538
28000,Mississippi,1937,220
29000,Missouri,1937,508
30000,Montana,1937,514
31000,Nebraska,1937,414
32000,Nevada,1937,775
33000,New Hampshire,1937,570
34000,New Jersey,1937,753
35000,New Mexico,1937,362
36000,New York,1937,848
37000,North Carolina,1937,321
38000,North Dakota,1937,324
39000,Ohio,1937,651
40000,Oklahoma,1937,375
41000,Oregon,1937,556
42000,Pennsylvania,1937,643
44000,Rhode Island,1937,742
45000,South Carolina,1937,271
46000,South Dakota,1937,321
47000,Tennessee,1937,332
48000,Texas,1937,418
49000,Utah,1937,447
50000,Vermont,1937,485
51000,Virginia,1937,426
53000,Washington,1937,601
54000,West Virginia,1937,419
55000,Wisconsin,1937,551
56000,Wyoming,1937,606
91000,New England,1937,724
92000,Mideast,1937,767
93000,Great Lakes,1937,658
94000,Plains,1937,477
95000,Southeast,1937,331
96000,Southwest,1937,409
97000,Rocky Mountain,1937,501
98000,Far West,1937,738
0,United States,1930,621
1000,Alabama,1930,263
2000,Alaska,1930,
4000,Arizona,1930,518
5000,Arkansas,1930,224
6000,California,1930,889
8000,Colorado,1930,574
9000,Connecticut,1930,927
10000,Delaware,1930,858
11000,District of Columbia,1930,1314
12000,Florida,1930,468
13000,Georgia,1930,303
15000,Hawaii *,1930,
16000,Idaho,1930,488
17000,Illinois,1930,810
18000,Indiana,1930,512
19000,Iowa,1930,501
20000,Kansas,1930,460
21000,Kentucky,1930,322
22000,Louisiana,1930,353
23000,Maine,1930,574
24000,Maryland,1930,721
25000,Massachusetts,1930,842
26000,Michigan,1930,658
27000,Minnesota,1930,547
28000,Mississippi,1930,197
29000,Missouri,1930,560
